,DEPTH,RHOB,VP,GR,NPHI
16134,3316.875,2.4783,3815.2216232971546,94.9799,0.2952
16135,3317.0,2.4103,3798.6550828286126,101.08165000000001,0.2932
16136,3317.125,2.5013099999999993,3780.528946816495,102.3919366666667,0.2948
16137,3317.25,2.5034766666666664,3761.973296871572,103.75820333333336,0.2913
16138,3317.375,2.5070699999999997,3750.521660831706,105.20047000000002,0.2972
16139,3317.5,2.511636666666667,3743.620337736043,106.71426333333335,0.3015
16140,3317.625,2.5168366666666673,3739.393577514737,108.17272000000003,0.3
16141,3317.75,2.5224266666666666,3738.741283236859,109.67206333333336,0.304
16142,3317.875,2.5279933333333333,3738.1929548102707,111.22838333333334,0.2948
16143,3318.0,2.533246666666666,3737.612066622065,112.78102333333335,0.2917
16144,3318.125,2.5379033333333334,3736.884804325677,114.33464666666667,0.2901
16145,3318.25,2.541656666666666,3734.110919456458,115.90637999999998,0.2899
16146,3318.375,2.5441499999999997,3727.4965238159875,117.44476,0.2936
16147,3318.5,2.447,3720.0154094400345,118.87049999999999,0.3051
16148,3318.625,2.5597,3713.1440611021308,120.36095333333333,0.3143
16149,3318.75,2.533526666666667,3692.693422985208,121.88531333333334,0.3101
16150,3318.875,2.5215300000000003,3664.567393499576,123.33933999999999,0.2935
16151,3319.0,2.5051100000000006,3634.8022823642773,124.57453333333335,0.3277766666666666
16152,3319.125,2.484456666666667,3606.279481469083,125.52427333333335,0.32925000000000004
16153,3319.25,2.4605400000000004,3580.2095533229212,126.38911333333336,0.2884
16154,3319.375,2.43687,3553.8526087733676,127.20560666666667,0.3113
16155,3319.5,2.416386666666667,3535.1332150423214,127.94818333333333,0.3369
16156,3319.625,2.4008366666666663,3517.3716972543307,128.55760666666666,0.3521
16157,3319.75,2.3902066666666664,3498.6044263985928,129.00755666666663,0.351
16158,3319.875,2.4596,3477.053031547721,129.2596233333333,0.369
16159,3320.0,2.4366,3457.9586690010115,129.54137333333333,0.3568
16160,3320.125,2.4262,3444.0178912816077,129.72904666666668,0.3548
16161,3320.25,2.418,3437.141830727583,129.83038,0.3552
16162,3320.375,2.4105,3434.7431210886743,125.8663,0.3597
16163,3320.5,2.4091,3431.5475073041425,127.5245,0.3211033333333333
16164,3320.625,2.4108,3432.4872927557935,128.0767,0.3190433333333333
16165,3320.75,2.4159,3439.1355562978288,128.6296,0.31722666666666666
16166,3320.875,2.4154,3447.5637057820554,129.0491,0.3515
16167,3321.0,2.4137,3456.7019567237194,130.0711,0.3353
16168,3321.125,2.4158,3463.5168759753765,131.1547,0.3266
16169,3321.25,2.4199,3466.672824954396,128.5271,0.3192
16170,3321.375,2.4232,3467.669246103671,128.6496,0.3158
16171,3321.5,2.416,3468.009534467472,128.8437,0.3144
16172,3321.625,2.4066,3469.3049320276823,128.9272,0.3162
16173,3321.75,2.3979,3468.850232963629,129.1508,0.3164
16174,3321.875,2.3884,3465.7804564924472,129.8882,0.3092
16175,3322.0,2.3818,3461.137344562302,125.24982,0.3117
16176,3322.125,2.3652,3483.4245903718966,125.13682666666666,0.3026
16177,3322.25,2.3482,3458.5787933339298,125.07276,0.3022
16178,3322.375,2.3347,3460.9902468782316,124.92670666666666,0.3057
16179,3322.5,2.3277,3469.887912326704,124.72292666666665,0.3072
16180,3322.625,2.331,3480.8965368235886,124.54338333333332,0.308
16181,3322.75,2.3343,3490.825062973717,124.41139,0.317
16182,3322.875,2.3382,3502.84712167554,124.31620999999998,0.3203
16183,3323.0,2.3391,3520.096190943267,124.28286333333334,0.3238
16184,3323.125,2.3369,3541.3818405709676,124.26077666666669,0.3231
16185,3323.25,2.333,3563.149748508961,124.24070000000002,0.3116
16186,3323.375,2.3248,3585.9942336828653,124.26381000000002,0.3001
16187,3323.5,2.321,3605.802988436182,128.3069,0.3079
16188,3323.625,2.3279,3623.1033029866853,126.2819,0.3127
16189,3323.75,2.3447,3637.4975920712604,123.8667,0.3171
16190,3323.875,2.3669,3647.1567695822596,121.8685,0.3185
16191,3324.0,2.3862,3648.44417724198,120.958,0.3052
16192,3324.125,2.3927,3664.968051771281,120.0475,0.3126
16193,3324.25,2.3933,3642.408806602316,124.70448666666667,0.316
16194,3324.375,2.3901,3634.907520680335,124.81094999999999,0.3209
16195,3324.5,2.3867,3626.642538587029,124.94625999999998,0.3287
16196,3324.625,2.3865,3620.1649547326156,125.06081999999999,0.339
16197,3324.75,2.3898,3608.829341307798,125.15394333333333,0.3521
16198,3324.875,2.3961,3597.569874858397,125.20897666666666,0.3469
16199,3325.0,2.4033,3592.9837797057717,125.22161000000001,0.3362
